say!|набраться мудрости|*must show say.data*
tip!|получить подсказку|
help!|получить инструкцию|
ping|ответит pong|_pong_
пинг|ответит понг|_понг_
кто?;who?|Разработчики Krista BI|_мы! @belovgr, @tsvmks, @vnvor, @pereborec, @greyax_
когда?;when?|Когда будет версия|[Ждите и вы дождетесь!](http://fmredmine.krista.ru/projects/krista-bi/roadmap)
как?;how?|Демо версия Krista BI|[вот так](http://test.piao.fm.epbs.ru/static-report/web/portal.html)
правила;rules?;правила?|правила общения в чате|Знайте меру и не насилуйте бота. Если получили предупреждение *вас слишком много...* – не надо продолжать и создавать шум. Это бото-бан и он пройдет сам минут через 15, если не будете активничать. Тем, кому этого мягкого бана мало, припасен и супер-дупер-бан, так что *не доводите до крайностей*. С ботом можно общаться напрямую, через личные сообщения.
